,fsq_id,fsq_distance,fsq_name,latitude,longitude,fsq_address,fsq_city,fsq_province,fsq_postalcode,citibike_id
0,50209a59e4b072cf35a19131,103,Menchies,49.254394,-123.234947,"3358 Wesbrook Mall (at UBC), Vancouver BC V6S 0A8",Vancouver,BC,V6S 0A8,7a19c49f486d7c0c02b3685d7b240448
1,4ac93fa4f964a5205dbf20e3,21,Carlton Cards SAVE on FOODS,49.254768,-123.236681,"5945 Berton Ave (at UBC Wesbrook Village), Vancouver BC V6S 0B3",Vancouver,BC,V6S 0B3,32603a87cfca71d0f7dfa3513bad69d5
2,503d559ae4b04ada6683794c,70,Wesbrook Village,49.254501,-123.235605,,,,,6d42fa40360f9a6b2bf641c7b8bb2862
3,5c35d16e4aa3f8002c929edd,25,Starbucks,49.254768,-123.236681,"5945 Berton Ave, Vancouver BC V6S 0B3",Vancouver,BC,V6S 0B3,66f873d641d448bd1572ab086665a458
4,545ef69a498e9fcea03d509d,82,Biercraft Wesbrook at UBC,49.254275,-123.235585,"3340 Shrum Lane, Vancouver BC V6S 0B9",Vancouver,BC,V6S 0B9,485d4d24c803cfde829ab89699fed833
5,4ab5696ef964a520747420e3,1084,University Golf Club,49.264668,-123.227894,"5185 University Blvd, Vancouver BC V6T 1X5",Vancouver,BC,V6T 1X5,b07d513f87897cff7319a0e59d7e567c
6,4aac1cc9f964a520555c20e3,956,UBC Botanical Garden and Centre for Plant Research,49.253912,-123.251113,"6804 Marine Dr SW (at Stadium Rd.), Vancouver BC V6T 1Z4",Vancouver,BC,V6T 1Z4,d1c9556d92f329703229fb3e33899a3b
7,4b7cab16f964a52042a02fe3,1012,Beanery Coffee House,49.263593,-123.239878,"2706 Fairview Cres, Vancouver BC V6T 2B9",Vancouver,BC,V6T 2B9,95e624191c655f50e401d280cd39a9ad
8,4c7bf79ddbaa76b0fe232d4b,1434,Beaty Biodiversity Museum,49.263274,-123.251116,"2212 Main Mall, Vancouver BC V6T 1Z4",Vancouver,BC,V6T 1Z4,3e112f9fe877e0003780386359060ae6
9,4aa7c455f964a520274d20e3,1018,Starbucks,49.261354,-123.246492,"6190 Agronomy Rd (East Mall), Vancouver BC V6T 1Z3",Vancouver,BC,V6T 1Z3,6993b3dbb0758927967592ea612a2b1e
