,yelp_id,yelp_name,yelp_review_count,yelp_rating,yelp_address,latitude,longitude,citibike_id
0,FPP0VvrPrV8RrF6Yye31ig,Chef Hung Taiwanese Beef Noodle,67.0,2.7,"['3313 Shrum Lane', 'Unit 102', 'Vancouver, BC V6S 0C8', 'Canada']",49.262487,49.262487,7a19c49f486d7c0c02b3685d7b240448
1,oSRxJSXssqOAAVlF1DS0Zg,Doughgirls,63.0,4.4,"['3322 Shrum Lane', 'Vancouver, BC V6S 0B9', 'Canada']",49.274566,49.274566,32603a87cfca71d0f7dfa3513bad69d5
2,uW6NtwN8hxrOLMyPi9IVcA,Neptune  Chinese Kitchen,37.0,2.9,"['3337 Shrum Lane', 'Vancouver, BC V6S 0C8', 'Canada']",49.279764,49.279764,6d42fa40360f9a6b2bf641c7b8bb2862
3,estK0IAUPgS0bftyYHTXNA,Blenz Coffee,29.0,3.3,"['3381 Wesbrook Mall', 'Vancouver, BC V6S 0B1', 'Canada']",49.260599,49.260599,66f873d641d448bd1572ab086665a458
4,W3fcG0C3w-6ARo_5yO4FYQ,Togo Sushi,30.0,2.3,"['3380 Shrum Lane', 'Vancouver, BC V6T 1W5', 'Canada']",49.264215,49.264215,485d4d24c803cfde829ab89699fed833
5,FIxsysrkr43lsaGWb6pmQA,Murchie's Fine Tea,3.0,3.7,"['3309 Wesbrook Mall', 'Vancouver, BC V6S 0A9', 'Canada']",49.270877,49.270877,b07d513f87897cff7319a0e59d7e567c
6,6kP_UD5MP5PWmzUTr1_tgg,Sports Illustrated Clubhouse,3.0,3.3,"['3340 Shrum Lane', 'Vancouver, BC V6T 1W5', 'Canada']",49.26893,49.26893,d1c9556d92f329703229fb3e33899a3b
7,QLF8Y0go5XG56zetWGWEVw,Nicli Antica Pizzeria,2.0,2.5,"['3339 Shrum Lane', 'Vancouver, BC V6T 1W5', 'Canada']",49.271721,49.271721,95e624191c655f50e401d280cd39a9ad
8,zVvd80dF_cOj1nfJwj1EwQ,Sharetea,3.0,5.0,"['3348 Wesbrook Mall', 'Vancouver, BC V6S 0A5', 'Canada']",49.287214,49.287214,3e112f9fe877e0003780386359060ae6
9,kWj2WRmFdDnuhWLc_PMH6A,Freshii,13.0,2.8,"['3351 Wesbrook Mall', 'Vancouver, BC V6S 0E3', 'Canada']",49.282409,49.282409,6993b3dbb0758927967592ea612a2b1e
10,2RDeCj6-S0k9mFifvoA8Zg,Bean Around The World UBC,26.0,3.8,"['6308 Thunderbird Blvd', 'Vancouver, BC V6T 1Z4', 'Canada']",49.287097,49.287097,bf8408067b0e0c963f3ff526977bcef3
11,G3bLw2wR64IfLZdRo8Pdng,The Original Beanery,17.0,4.0,"['2706 Fairview Crescent', 'Vancouver, BC V6T 2B9', 'Canada']",49.273471,49.273471,d2244f1a81d317c76cabd65e81250835
12,XUpvRzbGN9XoLiw44M7qzQ,Starbucks,17.0,3.7,"['6190 Agronomy Rd', 'UBC', 'Vancouver, BC V6T 1L9', 'Canada']",49.282758,49.282758,0b543fc4e694fe07a54dac48bb1b3390
13,5TqFVll66nkQiCT-WOunhg,Cafe Perugia,14.0,3.2,"['2350 Health Sciences Mall', 'Greater Vancouver A, BC V6T 1Z3', 'Canada']",49.28602,49.28602,fbb1d30d7f30b049873f5be5688563d4
14,FX7Dw41atuJ4oeTK6WtDUQ,Tim Hortons,7.0,2.1,"['2424 Main Mall - Forestry', 'Vancouver, BC V6T 1Z2', 'Canada']",49.279739,49.279739,7181df50ee1d1a05559399211382b7c8
15,-mwTK51v7mxdJjHR88TnoQ,Fit For Life,6.0,1.7,"['6190 Agronomy Road', 'Unit 105', 'Technology Enterprise Facility', 'Vancouver, BC V6T 1Z3', 'Canada']",49.275679,49.275679,b7683a86874e6300fd89f4cc0b075f57
16,Y5ngffVoy65r9_SQTxnB-g,Le Tea,2.0,4.0,"['105-6190 Agronomy Road', 'Vancouver, BC V6T 2B9', 'Canada']",49.282759,49.282759,3367c1e1dbf73caf7c10e4c96a92f58d
17,ep7wwXmf85TK_Z3iFxkk3w,Thunderbird Park,1.0,4.0,"['3055 Wesbrook Mall', 'Vancouver, BC V6T 1W5', 'Canada']",49.288444,49.288444,1d7e73b3321ebb6713774d376247d9f9
18,,,,,,49.289124,49.289124,664502c28e8147615f17b8ea355f40d0
19,,,,,,49.28062,49.28062,6c24a62b5ee0a2a8014eb0dfb6d40025
20,,,,,,49.279938,49.279938,fad9ebcf614dd1a72593a34072ff76f8
21,,,,,,49.273663,49.273663,3a4131fa94946d93d3529136efd62413
22,,,,,,49.28972,49.28972,25318ec3e06fae1397a3a2f645104149
23,,,,,,49.285253,49.285253,444991edc9550be0908f032da5e3c95f
24,,,,,,49.283343,49.283343,434b6f4e7fc30198f901b60fc905f609
25,,,,,,49.284605,49.284605,f97d5bf41f35aa181288429fb52e3488
26,,,,,,49.279821,49.279821,fef69fb400210d861107a61db954d037
27,,,,,,49.278004,49.278004,9d3123425823420514b8ad410074f02d
28,,,,,,49.279342,49.279342,f1ca711137cde59e824167a4274df888
29,,,,,,49.273833,49.273833,4f6ebf2026d540ffe40e29a80138ad5e
30,,,,,,49.28526,49.28526,be14efdc86dedd6a8cd338e78ab4e7c7
31,,,,,,49.281506,49.281506,6ddeafa873279951630a00191333c45d
32,,,,,,49.276115,49.276115,c7b5bec0b2f4ab9a2d3f9d837725620c
33,,,,,,49.272827,49.272827,b9fd847d53fe45658fee4c46e7f562b8
34,,,,,,49.269361,49.269361,c2be5403b1c101e8032cf6696457200e
35,,,,,,49.2653,49.2653,71c064fa93cab5f0b7306e6c923b77c4
36,,,,,,49.262598,49.262598,96bf713e60bc35cc2feb5fd53a4f3471
37,,,,,,49.25894,49.25894,8dc684732a2a25bdf63ec0ecccee4e6e
38,,,,,,49.258763,49.258763,686c0fdb962e26e274d81fc286c010dd
39,,,,,,49.266724,49.266724,0cf6cd1809fa7f510812f5b052f578c4
40,,,,,,49.262141,49.262141,93c88a18c673e2c72a6afa93d6b89f18
41,,,,,,49.268269,49.268269,8fb5ce1e34ad31de940481953aea452c
42,,,,,,49.275717,49.275717,aa704bfba40286bd0661b64d1f75e778
43,,,,,,49.276436,49.276436,8c9ea7f2132376859ef34fab981d6932
44,,,,,,49.277844,49.277844,1d4153659a0a0a2089078c739df6737d
45,,,,,,49.265089,49.265089,fbb4c06b719596c21f91fd51ef6d4710
46,,,,,,49.28026,49.28026,72c1049dfbbde7c24ec45c14f1a5ee85
47,,,,,,49.291909,49.291909,00fa94ad698dc4a9e4d708d6fd32f294
