,empty_slots,free_bikes,citibike_id,citibike_station,yelp_id,yelp_name,yelp_review_count,yelp_rating
0,19,17,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,FPP0VvrPrV8RrF6Yye31ig,Chef Hung Taiwanese Beef Noodle,67,2.7
1,3,13,32603a87cfca71d0f7dfa3513bad69d5,Yaletown-Roundhouse Station,uW6NtwN8hxrOLMyPi9IVcA,Neptune  Chinese Kitchen,37,2.9
2,25,1,6d42fa40360f9a6b2bf641c7b8bb2862,Dunsmuir & Beatty,oSRxJSXssqOAAVlF1DS0Zg,Doughgirls,63,4.4
3,14,2,66f873d641d448bd1572ab086665a458,12th & Yukon (City Hall),oaBBSXNwlk7hOK4XIiw00A,Burgoo Bistro,135,3.9
4,7,8,485d4d24c803cfde829ab89699fed833,8th & Ash,estK0IAUPgS0bftyYHTXNA,Blenz Coffee,29,3.3
5,7,6,b07d513f87897cff7319a0e59d7e567c,Spyglass & Seawall,yxAJSHBWRpQIJ-E-RbZWWg,Rice Burger,85,4.4
6,7,7,d1c9556d92f329703229fb3e33899a3b,Stamps Landing,5iiJ36-HXD3J-VYmAapPOw,Museum of Anthropology,150,4.5
7,4,15,95e624191c655f50e401d280cd39a9ad,Ontario & Seawall,WXUjrwRXK3YPQSVujEO-rQ,Jamjar Canteen,41,4.0
8,26,0,3e112f9fe877e0003780386359060ae6,Canada Place,FIxsysrkr43lsaGWb6pmQA,Murchie's Fine Tea,3,3.7
9,17,3,6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,caHt1eI98a41GjzLAsZ9JA,Bombay Masala Indian Restaurant,24,4.6
10,9,17,bf8408067b0e0c963f3ff526977bcef3,Pender & Burrard,fNYtvLAR2K1nR53MIxiBoA,Wildlight Kitchen + Bar,25,3.7
11,8,13,d2244f1a81d317c76cabd65e81250835,Marinaside & Davie,W3fcG0C3w-6ARo_5yO4FYQ,Togo Sushi,30,2.3
12,23,5,0b543fc4e694fe07a54dac48bb1b3390,Robson & Hornby,CTmQdP8KdS0Da6hAPZLquw,UBC Botanical Garden,36,4.3
13,4,16,fbb1d30d7f30b049873f5be5688563d4,Hornby & Pender,CrjJBP42QMtw5hV_C1I4QA,Spanish Banks Beach Park,44,4.7
14,13,6,7181df50ee1d1a05559399211382b7c8,Homer & Robson (Vancouver Public Library),JIvgzge5x_7EnlzIzKtMvQ,Koerner's Pub,51,3.8
15,11,2,b7683a86874e6300fd89f4cc0b075f57,Beatty & Nelson,6kP_UD5MP5PWmzUTr1_tgg,Sports Illustrated Clubhouse,3,3.3
16,1,21,3367c1e1dbf73caf7c10e4c96a92f58d,Abbott & Cordova,D02tg_m6dxwgz0473aYDfA,Loafe Cafe,39,3.9
17,4,13,1d7e73b3321ebb6713774d376247d9f9,Comox & Denman,QLF8Y0go5XG56zetWGWEVw,Nicli Antica Pizzeria,2,2.5
18,8,6,664502c28e8147615f17b8ea355f40d0,Cordova & Bute,A1H-vlWpuuxDP1cjCnB-xg,Great Dane Coffee,63,4.1
19,16,2,6c24a62b5ee0a2a8014eb0dfb6d40025,Hornby & Nelson,zVvd80dF_cOj1nfJwj1EwQ,Sharetea,3,5.0
